SEASON,PLAYER_NAME,PLAYER_ID,ON_ORTG,ON_DRTG,ON_NET,OFF_ORTG,OFF_DRTG,OFF_NET,ON_OFF,ON_POSS_O,ON_POSS_D,OFF_POSS_O,OFF_POSS_D,POSS,GP_PG,MIN_PG,FGA_PG,FTA_PG,PTS_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,FG_PCT_PG,FG3_PCT_PG,TEAM_ABBREVIATION,GP,PTS_100,REB_100,OREB_100,DREB_100,AST_100,STL_100,BLK_100,TOV_100,USG_PCT,STOCKS_100
2021,Candace Parker,201496,107.6,100.5,7.2,103.3,104.0,-0.7,7.8,1812.5,1810.3,1501.8,1492.9,3622.8,23,26.8,11.0,2.7,13.3,8.4,4.0,0.7,1.2,2.4,45.8,32.9,CHI,23,24.3,15.3,2.5,12.8,7.2,1.3,2.1,4.4,18.5,3.4000000000000004
2021,Layshia Clarendon,203406,109.0,99.5,9.5,104.4,102.6,1.8,7.7,1057.6,1061.1,1503.0,1516.0,2118.6,22,24.7,8.1,1.7,9.9,3.0,5.4,0.6,0.0,3.0,51.7,35.7,MIN,22,19.9,5.9,1.1,4.8,10.8,1.2,0.0,6.0,24.6,1.2
2021,Jillian Alleyne,1627687,89.6,87.0,2.5,103.4,108.3,-4.9,7.5,13.4,12.6,2450.5,2454.4,26.0,2,3.9,1.0,0.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,MIN,2,0.0,28.6,7.1,21.4,0.0,7.1,0.0,0.0,14.9,7.1
2021,Allie Quigley,201516,110.0,103.2,6.8,100.2,100.7,-0.5,7.3,1853.5,1831.2,1460.8,1472.0,3684.6,26,24.4,10.400000000000002,1.9,13.2,2.7,2.3,0.5,0.3,1.2,44.8,45.4,CHI,26,26.4,5.299999999999999,1.3000000000000003,4.0,4.6,1.0,0.5,2.3,17.4,1.5
2021,Tiffany Hayes,203026,103.9,108.0,-4.2,99.4,110.7,-11.4,7.2,1134.0,1125.6,1341.6,1331.8,2259.6,21,28.300000000000004,11.4,3.6000000000000005,14.7,3.2,3.0,1.6,0.2,1.5,43.8,40.5,ATL,21,25.9,5.6,1.2,4.5,5.3,2.8,0.3,2.6,26.8,3.0999999999999996
2021,Courtney Vandersloot,202664,105.4,100.3,5.1,106.5,108.1,-1.6,6.7,2568.1,2567.1,746.2,736.1,5135.2,32,30.5,9.3,1.5,10.5,3.4,8.6,1.7,0.4,3.0,43.3,34.6,CHI,32,16.8,5.4,0.8,4.6,13.7,2.7,0.6,4.8,16.1,3.3000000000000003
2021,Tiffany Mitchell,1627676,99.2,109.1,-9.9,100.3,117.0,-16.7,6.7,1433.0,1449.9,975.7,970.9,2883.0,28,27.3,9.1,4.5,12.0,2.9,2.0,0.6,0.0,1.9,42.1,25.5,IND,28,22.0,5.2,1.6,3.6,3.7,1.2,0.1,3.5,25.4,1.3
2021,Brittney Griner,203398,109.3,106.3,3.1,101.7,105.0,-3.3,6.4,2593.2,2570.0,686.3,698.0,5163.1,30,32.8,14.4,4.5,20.5,9.5,2.7,0.4,1.9,2.2,57.5,44.4,PHO,30,32.0,14.8,3.7,11.1,4.2,0.6,3.0,3.4,21.5,3.6
2021,Arella Guirantes,1630441,101.7,102.5,-0.8,94.6,101.6,-6.9,6.2,540.9,538.6,1869.7,1878.7,1079.5,25,11.6,3.8,1.0,3.2,1.3,0.6,0.3,0.2,0.5,27.4,22.2,LAS,25,13.6,5.7,1.0,4.7,2.6,1.4,0.7,2.1,21.9,2.0999999999999996
2021,Chennedy Carter,1630150,103.2,106.7,-3.4,100.9,110.3,-9.4,6.0,560.9,552.2,1914.7,1905.2,1113.1,11,25.5,12.0,3.6,14.2,1.3,3.3,0.7,0.4,2.1,45.5,11.1,ATL,11,26.6,2.4,0.9,1.5,6.1,1.4,0.7,3.9,30.8,2.0999999999999996
